uniqueID,drugName,condition,review,rating,date,usefulCount,trueSentiment
101963,Terbinafine,"Onychomycosis, Toenail","""After a much needed pedicure, I noticed my big toe was starting to look sort of discolored/grayish at the cuticle. A few months passed and it became worse. The toenail thickened and became flaky. I would sometimes experience excruciating pain and a throbbing sensation in my toe along with a reddened outer area. My physician prescribed Terbinafine after an initial liver function test. This test was repeated 1 month after treatment, three months after that, and since my results have been fine, he has ordered no more repeats. I am about to start my 5th month (out of 6) and am already seeing great results. It's a slow process (he said it could take a year) but my new nail is coming in great!""",9,4-Sep-15,8,positive
85376,Ethinyl estradiol / norgestimate,Birth Control,"""This pill was low cost and extremely helpful for my poor complexion. However, I've gained weight, had daily headaches, and I've felt extremely dizzy after taking it for 4 months. There were benefits, but they did not outweigh the side effects for me.""",5,26-May-15,0,neutral
176373,Lorazepam,Anxiety,"""I suffer from PTSD, depression, anxiety, and panic attacks. I previously took Xanax, but it was too short acting for me. I needed a benzodiazepine that was longer acting, since my anxiety goes on for a long time. I like that Ativan lasts 6-8 hours, in which I need for times of long time anxiousness. However I have realized that smoking cigarettes lessens the effectiveness of benzodiazepines, so I will have to work around that. Anyway, Ativan is great for people like me who have anxiety and panic attacks.""",9,28-Apr-15,106,positive
176399,Lorazepam,Anxiety,"""I suffer from panic disorder and generalized anxiety disorder and ocd.

I take 1mg twice daily and am on 40mg of prozac.My disorders are quite severe and on a bad day im housebound.The lorazapem does work well but i do get bad withdrawal in the morning which involves being very anxious for bout an hour or so till my meds kick in which im going to try some different courses of action to try and counter this.Im 36 yrs old and a solo dad so getting well for my son is a big priority for me! My heart goes out to all the anxiery sufferers out there and i suppose we can all hope that we can get the right balance of meds that helps us without to many side effects and be as well as possible! So overall review of this drug is 7/10 good luck!""",7,24-Aug-15,22,neutral
172086,Amitiza,"Constipation, Chronic","""I have been on laxatives forever. Specifically, Perdiem. I take 3 Perdiem and 1 Amitiza at bedtime and go every morning. The Perdiem (similar to Senokot) was starting to not work as well after 25  years and once I added the Amitiza, all is well. I am trying to cut back on the laxative now. My doc wants me to take Linzess, but I'm reading how many people are gaining weight. My only complaint with Amitza is the gas, so I am reluctant to take in the morning.""",9,15-Aug-13,50,positive
66748,Seroquel,Bipolar Disorde,"""Prescribed 600mg for bipolar 1, first three weeks nasty but stick with it these side effects disappear. Taken alongside lithium and I have never felt so well in over 20 years, awesome.""",9,10-Apr-14,67,positive
219548,Microgestin Fe 1.5 / 30,Birth Control,"""I've been on it for two months and 5 days and it's worked great for making my period SUPER light and lessened the pain of cramps.. But I lost my appetite and hardly eat anything, I'm overly moody, I get nauseated really easily, breast tenderness that went away after awhile. It's awesome for my periods but I think this dosage is just too strong for a first timer on birth control.""",4,28-Nov-14,8,neutral
85769,Ethinyl estradiol / norgestimate,Birth Control,"""My doctor recommended this to me since I was on Ortho Tri-Cyclen Lo before and after having a child it no longer worked as well for me and began to cause cystic acne on my chin. She said Tri Sprintec is the generic for Ortho Tri-Cyclen Lo and works similarly to your natural body's hormone process. Since I started it each month my skin has gotten clearer and the PMS mood swings before my period are getting better. I was definitely more moody after I started taking this birth control. The biggest thing I've noticed is lack of sexual drive but my skins clear, little weight gain, and no hair loss. So I'm sticking with it. """,10,7-Jan-14,14,positive
17486,Ethinyl estradiol / etonogestrel,Birth Control,"""I started using the Nuva Ring in Apr. 2016. My doctor recommended it because I randomly began to have a very abnormal menstural cycle and the cramps became excruciating. Almost as soon as I started NR, I began to have spurts of VERY sharp pains all throughout the day. They were so bad that sometimes I would find myself hunched over. My doctor and I assumed my body was just adjusting to the NR. These pains went on for about a month and then everything ceased. From that point on everything as far as pain, and the regulation of my menstural cycle was fine. I really loved the convenience of NR. I stopped using NR in Dec 2016. I stopped using it because I noticed that during the months of usage, I experienced extreme depression,& mood swings.""",5,22-Dec-16,4,positive
73101,Ethinyl estradiol / norethindrone,Birth Control,"""I love this birth control. It's the only one I've been on, so I can't compare it to others, but I've been on it for about 4 or 5 years. My fiance and I don't use condoms or any other back up method and I have never been pregnant. I didn't have any weight gain and it cleared up acne. I love it and will stay on this until we decide to have children.""",10,17-Jan-15,13,positive
